openalex_id,doi,pmcid,pmid,source_url,local_path,file_hash,retrieval_time_utc,notes
W4390562552,10.1038/s12276-023-01146-2,PMC10834451,38172602,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10834451/fullTextXML,research_ops/cache/fulltext/T205_PMC10834451.xml,acb92e09a382a529e1584770178e24b01a139cdfe962e80f6bd4f41320cffb58,2026-04-01T15:19:43Z,T205 pilot
W4391440666,10.1038/s41366-024-01473-y,PMC11971045,38302593,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11971045/fullTextXML,research_ops/cache/fulltext/T205_PMC11971045.xml,06cf212c5cdce2baa08e12b2311bf1595b23db2d9c01929c0186111fd4c3c006,2026-04-01T15:19:43Z,T205 pilot
W4390475396,10.1038/s41377-023-01340-x,PMC10758000,38161203,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10758000/fullTextXML,research_ops/cache/fulltext/T205_PMC10758000.xml,8a1fd2de1d10693a45049858c2bef096be1c6154df501b56ad5e9ef2053f3484,2026-04-01T15:19:43Z,T205 pilot
W4313382384,10.1038/s41392-022-01259-6,PMC9805914,36588107,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9805914/fullTextXML,research_ops/cache/fulltext/T205_PMC9805914.xml,20b56a41f3127961ceb801d11c5da3de127df10e96c83188caeab6cd74a4c41d,2026-04-01T15:19:43Z,T205 pilot
W4376631082,10.1038/s41392-023-01451-2,PMC10182360,37179335,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10182360/fullTextXML,research_ops/cache/fulltext/T205_PMC10182360.xml,c8e415203814f56050493ffd88411f02127ed3f00734aa2cc5cab0305a5ab02a,2026-04-01T15:19:43Z,T205 pilot
W4376226672,10.1038/s41392-023-01460-1,PMC10175505,37169756,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10175505/fullTextXML,research_ops/cache/fulltext/T205_PMC10175505.xml,49a4ac416f32f3a5cb14313e5647c308956bfed5561c2ea352d705652adcd8b3,2026-04-01T15:19:43Z,T205 pilot
W4382601497,10.1038/s41392-023-01484-7,PMC10310781,37386015,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10310781/fullTextXML,research_ops/cache/fulltext/T205_PMC10310781.xml,c12652d36d998da54e4a4fccb7ed0c31f4ac8da920556f601760b0fef47b8e7d,2026-04-01T15:19:43Z,T205 pilot
W4386448978,10.1038/s41392-023-01547-9,PMC10480456,37669960,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10480456/fullTextXML,research_ops/cache/fulltext/T205_PMC10480456.xml,968ff46f3af4eb728bc0696f8ca4aa2ee273c4fd30f21d01ee5b01b53c9bfb4c,2026-04-01T15:19:43Z,T205 pilot
W4387230320,10.1038/s41392-023-01608-z,PMC10543444,37779156,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10543444/fullTextXML,research_ops/cache/fulltext/T205_PMC10543444.xml,d7a9b29dc201a544f14ff3b5d2061340cf400a49e158b7eab08613442f7224e3,2026-04-01T15:19:43Z,T205 pilot
W4388275106,10.1038/s41392-023-01642-x,PMC10622502,37919282,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10622502/fullTextXML,research_ops/cache/fulltext/T205_PMC10622502.xml,8bdc81420ee180aa4fed0fb85b9b1c6ad60d836337d916f6f4610a0af307b0af,2026-04-01T15:19:43Z,T205 pilot
