openalex_id,paper_id,abstract_status,abstract_artifact,fulltext_html_status,fulltext_html_artifact,pdf_status,pdf_artifact,oa_url_cached,last_fetch_utc,notes
W131942394,openalex:W131942394,missing,research_ops/parsed/abstracts/openalex_abstracts_1996.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W1651609297,openalex:W1651609297,missing,research_ops/parsed/abstracts/openalex_abstracts_2018.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W165940776,openalex:W165940776,missing,research_ops/parsed/abstracts/openalex_abstracts_1996.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W1660097584,openalex:W1660097584,missing,research_ops/parsed/abstracts/openalex_abstracts_2008.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W1667854146,openalex:W1667854146,missing,research_ops/parsed/abstracts/openalex_abstracts_2005.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W170967611,openalex:W170967611,ingested,research_ops/parsed/abstracts/openalex_abstracts_2013.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W183198662,openalex:W183198662,missing,research_ops/parsed/abstracts/openalex_abstracts_1991.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2135184018,openalex:W2135184018,ingested,research_ops/parsed/abstracts/openalex_abstracts_2013.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2147628396,openalex:W2147628396,missing,research_ops/parsed/abstracts/openalex_abstracts_1999.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2160142299,openalex:W2160142299,ingested,research_ops/parsed/abstracts/openalex_abstracts_2011.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2221432021,openalex:W2221432021,missing,research_ops/parsed/abstracts/openalex_abstracts_2007.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2245074608,openalex:W2245074608,missing,research_ops/parsed/abstracts/openalex_abstracts_2009.jsonl,pending,,pending,,http://nrs.harvard.edu/urn-3:HUL.InstRepos:33776182,2026-04-01T10:43:57Z,T200 OpenAlex abstract layer
W2286186286,openalex:W2286186286,missing,research_ops/parsed/abstracts/openalex_abstracts_1996.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2415201892,openalex:W2415201892,ingested,research_ops/parsed/abstracts/openalex_abstracts_2022.jsonl,error,,pending,,http://hdl.handle.net/10400.4/904,2026-04-01T14:25:55Z,T200 OpenAlex abstract layer; batch_fetch_error=<urlopen error [Errno 104] Connection reset by peer>; batch_fetch_error=<urlopen error [Errno 104] Connection reset by peer>
W2464072665,openalex:W2464072665,ingested,research_ops/parsed/abstracts/openalex_abstracts_2016.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W246873486,openalex:W246873486,missing,research_ops/parsed/abstracts/openalex_abstracts_1996.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2487846537,openalex:W2487846537,missing,research_ops/parsed/abstracts/openalex_abstracts_2002.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2488719231,openalex:W2488719231,missing,research_ops/parsed/abstracts/openalex_abstracts_2001.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2494050007,openalex:W2494050007,missing,research_ops/parsed/abstracts/openalex_abstracts_2003.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2494922686,openalex:W2494922686,missing,research_ops/parsed/abstracts/openalex_abstracts_1999.jsonl,skipped_policy,,pending,,,2026-04-01T15:24:13Z,T200 OpenAlex abstract layer; T212_openalex_is_oa_false
W2499316477,openalex:W2499316477,missing,research_ops/parsed/abstracts/openalex_abstracts_2015.jsonl,pending,,pending,,https://research.manchester.ac.uk/en/publications/b1429870-501f-46ef-bd4d-c8b02516f1a2,2026-04-01T10:43:57Z,T200 OpenAlex abstract layer
