paper_id,title,authors,year,venue,doi,pmid,arxiv_id,openalex_id,url_abstract,url_pdf,source_batch,tags_modality,tags_anatomy,tags_disease,tags_method,notes
openalex:W2499316477,Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015,,2015,Lecture notes in computer science,10.1007/978-3-319-24553-9,,,W2499316477,https://openalex.org/W2499316477,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W3089669417,Medical Image Computing and Computer-Assisted Intervention — MICCAI’98,,1998,Lecture notes in computer science,10.1007/bfb0056181,,,W3089669417,https://openalex.org/W3089669417,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W1651609297,Medical Image Computing and Computer Assisted Intervention – MICCAI 2018,,2018,Lecture notes in computer science,10.1007/978-3-030-00937-3,,,W1651609297,https://openalex.org/W1651609297,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W4288860568,Medical Image Computing and Computer Assisted Intervention – MICCAI 2019,,2019,Lecture notes in computer science,10.1007/978-3-030-32248-9,,,W4288860568,https://openalex.org/W4288860568,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W2494922686,Medical Image Computing and Computer-Assisted Intervention – MICCAI’99,,1999,Lecture notes in computer science,10.1007/10704282,,,W2494922686,https://openalex.org/W2494922686,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W4296580612,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2015,,2015,Lecture notes in computer science,10.1007/978-3-319-24574-4,,,W4296580612,https://openalex.org/W4296580612,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W1660097584,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2008,,2008,Lecture notes in computer science,10.1007/978-3-540-85988-8,,,W1660097584,https://openalex.org/W1660097584,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W4301802631,Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015,,2015,Lecture notes in computer science,10.1007/978-3-319-24571-3,,,W4301802631,https://openalex.org/W4301802631,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W2488719231,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2001,,2001,Lecture notes in computer science,10.1007/3-540-45468-3,,,W2488719231,https://openalex.org/W2488719231,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
openalex:W2487846537,Medical Image Computing and Computer-Assisted Intervention — MICCAI 2002,,2002,Lecture notes in computer science,10.1007/3-540-45786-0,,,W2487846537,https://openalex.org/W2487846537,,T019_openalex_seed,medical_imaging,,,unspecified,MICCAI proceedings volume (LNCS); T120 verified; T047_modality_normalized; T048_method_normalized
