dataset_id,name,modality,task,label_granularity,license,access_friction,url,notes
tcia:Breast-MRI-NACT-Pilot,Breast-MRI-NACT-Pilot,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Duke-Breast-Cancer-MRI,Duke-Breast-Cancer-MRI,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Lung-PET-CT-Dx,Lung-PET-CT-Dx,PET-CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Pancreatic-CT-CBCT-SEG,Pancreatic-CT-CBCT-SEG,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:RIDER Lung PET-CT,RIDER Lung PET-CT,PET-CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:ACRIN-Contralateral-Breast-MR,ACRIN-Contralateral-Breast-MR,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:ACRIN-HNSCC-FDG-PET-CT,ACRIN-HNSCC-FDG-PET-CT,PET-CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Advanced-MRI-Breast-Lesions,Advanced-MRI-Breast-Lesions,MRI,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Breast-Cancer-Screening-DBT,Breast-Cancer-Screening-DBT,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CT-vs-PET-Ventilation-Imaging,CT-vs-PET-Ventilation-Imaging,PET-CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Colorectal-Liver-Metastases,Colorectal-Liver-Metastases,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Lung-Fused-CT-Pathology,Lung-Fused-CT-Pathology,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:LungCT-Diagnosis,LungCT-Diagnosis,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
