link_id,paper_id,trial_id,nct_id,relation_type,relation_subtype,evidence_snippet,confidence,source_url,last_verified_utc,notes
PTL0001,openalex:W2015758016,NCT07030998,NCT07030998,cited_in_protocol_text,doi_in_ctgov_json,s a direct result of their cancer treatment (DOI: 10.1056/NEJMsa060185). One of the adverse events experienced by 90% of,medium,https://clinicaltrials.gov/study/NCT07030998,2026-03-31,T119 q=machine learning
PTL0002,openalex:W4317929764,NCT07030998,NCT07030998,cited_in_protocol_text,doi_in_ctgov_json," and carriers a mortality rate of 41 to 46% (DOI: 10.1016/j.jped.2023.01.001). Beyond mortality, delayed first antibiotic admi",medium,https://clinicaltrials.gov/study/NCT07030998,2026-03-31,T119 q=machine learning
PTL0003,openalex:W2140233939,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,omeostasis. Cell. 2014 Oct 23;159(3):514-29. doi: 10.1016/j.cell.2014.09.048. Epub 2014 Oct 16.,medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0004,openalex:W2081512223,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"s. Clin Exp Immunol. 2007 Aug;149(2):235-42. doi: 10.1111/j.1365-2249.2007.03405.x. Epub 2007 May 4. 25231862 BACKGROUND Suez J, Kor",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0005,openalex:W2165067288,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"GPR43. Nature. 2009 Oct 29;461(7268):1282-6. doi: 10.1038/nature08530. 19644121 BACKGROUND Slack E, Hapfelmeier S, Stec",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0006,openalex:W2126147289,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"nses. Science. 2010 Jun 25;328(5986):1705-9. doi: 10.1126/science.1188454. 21596591 BACKGROUND Geuking MB, Cahenzli J, Laws",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0007,openalex:W2005507128,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"lism. Science. 2009 Jul 31;325(5940):617-20. doi: 10.1126/science.1172747. 20576892 BACKGROUND Hapfelmeier S, Lawson MA, Sl",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0008,openalex:W1989947363,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"robiota. Nature. 2014 Oct 9;514(7521):181-6. doi: 10.1038/nature13793. Epub 2014 Sep 17. 25417104 BACKGROUND Thaiss CA,",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0009,openalex:W2051373931,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"ponses. Immunity. 2011 May 27;34(5):794-806. doi: 10.1016/j.immuni.2011.03.021. Epub 2011 May 19. 22031325 BACKGROUND Berer K, M",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0010,openalex:W2037907937,NCT02580435,NCT02580435,cited_in_protocol_text,doi_in_ctgov_json,"ation. Nature. 2011 Oct 26;479(7374):538-41. doi: 10.1038/nature10554. 17488294 BACKGROUND Achiron A, Gurevich M, Snir ",medium,https://clinicaltrials.gov/study/NCT02580435,2026-03-31,T119 q=machine learning
PTL0011,openalex:W4365505218,NCT03592368,NCT03592368,cited_in_protocol_text,doi_in_ctgov_json,osci Neuroimaging. 2023 Oct;8(10):1033-1040. doi: 10.1016/j.bpsc.2023.03.013. Epub 2023 Apr 14. NO A commitment to data sharin,medium,https://clinicaltrials.gov/study/NCT03592368,2026-03-31,T119 q=machine learning
PTL0012,openalex:W2263736716,NCT03592368,NCT03592368,cited_in_protocol_text,doi_in_ctgov_json,"olesc Psychopharmacol. 2016 Feb;26(1):49-57. doi: 10.1089/cap.2015.0100. Epub 2016 Jan 8. 34147585 BACKGROUND Haller SP, ",medium,https://clinicaltrials.gov/study/NCT03592368,2026-03-31,T119 q=machine learning
PTL0013,openalex:W3175530207,NCT03592368,NCT03592368,cited_in_protocol_text,doi_in_ctgov_json,ld Adolesc Psychiatry. 2022 Jan;61(1):37-45. doi: 10.1016/j.jaac.2021.05.022. Epub 2021 Jun 17. 37062362 BACKGROUND Stoddard J,medium,https://clinicaltrials.gov/study/NCT03592368,2026-03-31,T119 q=machine learning
PTL0014,openalex:W4412694637,NCT06498050,NCT06498050,cited_in_protocol_text,doi_in_ctgov_json, China. BMJ Open. 2025 Jul 28;15(7):e099551. doi: 10.1136/bmjopen-2025-099551. NO,medium,https://clinicaltrials.gov/study/NCT06498050,2026-03-31,T119 q=machine learning
PTL0015,openalex:W3114871253,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,ur Neuropsychopharmacol. 2021 Apr;45:89-107. doi: 10.1016/j.euroneuro.2020.11.016. Epub 2020 Dec 29. 19122532 BACKGROUND Dinan TG. ,medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0016,openalex:W2156150528,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json," JAMA Psychiatry. 2014 Dec 1;71(12):1381-91. doi: 10.1001/jamapsychiatry.2014.1611. 16491133 BACKGROUND Muller N, Schwarz MJ, Dehnin",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0017,openalex:W2338312264,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,psychopharmacology. 2016 Sep;41(10):2502-11. doi: 10.1038/npp.2016.50. Epub 2016 Apr 12. 23200297 BACKGROUND Carvalho L,medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0018,openalex:W2543482907,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,"ve research. BMC Med. 2016 Oct 28;14(1):173. doi: 10.1186/s12916-016-0712-5. 19423079 BACKGROUND Harrison NA, Brydon L, Walke",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0019,openalex:W2201607793,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,"rget. Nat Rev Immunol. 2016 Jan;16(1):22-34. doi: 10.1038/nri.2015.5. 27788673 BACKGROUND Leboyer M, Berk M, Yolken RH",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0020,openalex:W2046572145,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,"y. Biol Psychiatry. 2009 Sep 1;66(5):407-14. doi: 10.1016/j.biopsych.2009.03.015. Epub 2009 May 7. 27067128 BACKGROUND Hepgul N, C",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0021,openalex:W2149402043,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,"ice. Am J Psychiatry. 2006 Jan;163(1):28-40. doi: 10.1176/appi.ajp.163.1.28. 34539454 BACKGROUND Benedetti F, Dallaspezia S, ",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0022,openalex:W2519531315,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,"r. Nat Rev Dis Primers. 2016 Sep 15;2:16065. doi: 10.1038/nrdp.2016.65. 25322082 BACKGROUND Kohler O, Benros ME, Nordent",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0023,openalex:W2954339234,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,s. Mol Psychiatry. 2020 Jun;25(6):1275-1285. doi: 10.1038/s41380-019-0471-8. Epub 2019 Aug 19. 21518864 BACKGROUND Warner-Sch,medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0024,openalex:W2136452491,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,"Expert Rev Neurother. 2011 Jul;11(7):961-70. doi: 10.1586/ern.11.61. BACKGROUND WHO, 2008 The global burden of diseas",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0025,openalex:W2033344078,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json," J Affect Disord. 2013 May 15;148(1):136-40. doi: 10.1016/j.jad.2012.10.036. Epub 2012 Nov 27. 33386229 BACKGROUND Branchi I,",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0026,openalex:W2050961629,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json, Acad Sci U S A. 2011 May 31;108(22):9262-7. doi: 10.1073/pnas.1104836108. Epub 2011 Apr 25. 21721914 BACKGROUND Dallaspezi,medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0027,openalex:W2058036329,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,". Curr Opin Psychiatry. 2009 Jan;22(1):32-6. doi: 10.1097/YCO.0b013e328315a561. 27629598 BACKGROUND Otte C, Gold SM, Penninx BW,",medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
PTL0028,openalex:W2049808835,NCT06306248,NCT06306248,cited_in_protocol_text,doi_in_ctgov_json,etine. Mol Psychiatry. 2006 Jul;11(7):680-4. doi: 10.1038/sj.mp.4001805. Epub 2006 Feb 21. 31427751 BACKGROUND Wittenberg,medium,https://clinicaltrials.gov/study/NCT06306248,2026-03-31,T119 q=machine learning
