trial_id,nct_id,brief_title,overall_status,conditions,study_type,url,notes
NCT06077630,NCT06077630,Non-attendance Prediction Models to Pediatric Outpatient Appointments,COMPLETED,"Non-Attendance, Patient;No-Show Patients",OBSERVATIONAL,https://clinicaltrials.gov/study/NCT06077630,T043 harvest tag=T043_ml query=machine learning
NCT07030998,NCT07030998,Wearable Technology and Machine Learning for Early Detection and Risk Assessment of Unacceptable Toxicities in a Paediatric Oncology Cohort,RECRUITING,Cancer;Infection;Digital Health;Wearable Devices,OBSERVATIONAL,https://clinicaltrials.gov/study/NCT07030998,T043 harvest tag=T043_ml query=machine learning
NCT06939387,NCT06939387,Drug-induced Kidney Injury Model,RECRUITING,Acute Kidney Injury,OBSERVATIONAL,https://clinicaltrials.gov/study/NCT06939387,T043 harvest tag=T043_ml query=machine learning
NCT05375955,NCT05375955,A Study to Learn About The Study Medicine (PF-07038124) In Patients With Mild To Moderate Atopic Dermatitis Or Mild To Severe Plaque Psoriasis.,COMPLETED,Atopic Dermatitis;Plaque Psoriasis,INTERVENTIONAL,https://clinicaltrials.gov/study/NCT05375955,T043 harvest tag=T043_ml query=machine learning
NCT05685355,NCT05685355,AI Gum Health Evaluation with Smartphone,RECRUITING,Gingivitis,OBSERVATIONAL,https://clinicaltrials.gov/study/NCT05685355,T043 harvest tag=T043_ml query=machine learning
NCT02580435,NCT02580435,Deciphering the Role of the Gut Microbiota in Multiple Sclerosis,UNKNOWN,Multiple Sclerosis,OBSERVATIONAL,https://clinicaltrials.gov/study/NCT02580435,T043 harvest tag=T043_ml query=machine learning
NCT03592368,NCT03592368,Hostile Interpretation Bias Training to Treat Irritability,COMPLETED,Irritable Mood;Mood Disorders,INTERVENTIONAL,https://clinicaltrials.gov/study/NCT03592368,T043 harvest tag=T043_ml query=machine learning
NCT05392413,NCT05392413,Immune Indicator Model for Predicting Efficacy of PD-1 Monoclonal Antibody,RECRUITING,Esophageal Squamous Cell Carcinoma;PD-1 Inhibitor,OBSERVATIONAL,https://clinicaltrials.gov/study/NCT05392413,T043 harvest tag=T043_ml query=machine learning
NCT06498050,NCT06498050,Brolucizumab Efficacy and Safety Single-Arm Descriptive Trial in Patients With Persistent Diabetic Macular Edema,ACTIVE_NOT_RECRUITING,Diabetic Macular Edema,INTERVENTIONAL,https://clinicaltrials.gov/study/NCT06498050,T043 harvest tag=T043_ml query=machine learning
NCT04890847,NCT04890847,A Platform for Multidisciplinary Medical Artificial Intelligence Development,UNKNOWN,Medical Artificial Intelligence;Medical Imaging,OBSERVATIONAL,https://clinicaltrials.gov/study/NCT04890847,T043 harvest tag=T043_ml query=machine learning
