manifest_id,source_url,retrieval_time_utc,local_path,file_hash,mime_type,license_note,parse_status,parse_output_path,delete_eligibility,redownloadable,provenance_note,notes
DL09001,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41743333&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41743333.json,a770084f69a34b7b74f0eb4c950db661448c20497760aebf79b51b4d46722af9,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09002,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41799635&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41799635.json,63fdb4ada6fa64172c88be8362ca2f12bb0429b099dbe5921f5942d706597c51,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09003,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41736847&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41736847.json,e28cd3db59db29d4fe8cbd14752afc09f5eb21c213a21d54b8dc41ce388a841c,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09004,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41705524&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41705524.json,626ec30cb00574762a2fa6c1ee92a92dd0ba2c972dabb3ce2d954df0bfb502b6,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09005,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41782281&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41782281.json,c871af8592a035e4117a4643129f73243c03b98332c35f0233c5bebd8ff8b0f4,application/json,cc by-nc-nd,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09006,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41810059&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41810059.json,afd37fb4222017330c62cb7eacd7d5d306263350937363f5d67216d463c82d2f,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09007,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41884188&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41884188.json,adc5b23faf7396fac9e7d725472dd415a9c1dc33e7b7125484d1c587d0878a60,application/json,cc by-nc,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09008,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41767081&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41767081.json,ffb01210feb0972660495cb2eca5a934c08af8c7021cf6805bdaf449126bc683,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09009,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41666894&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41666894.json,f8dfd3ae07484f52b8722ddd1feb34bc6d5af733a3a8129febce98867e809ba6,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09010,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41669003&format=json,2026-04-01T06:52:19Z,cache/metadata/epmc_case_pmid41669003.json,c9cd4f8a9fd844ec0b02be0cd396374a0da8bd521ab8e8427eca17cbe13e019a,application/json,cc by-nc,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST search; OA filter,T062 batch
DL09011,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41907047&format=json,2026-04-01T06:53:31Z,cache/metadata/epmc_case_pmid41907047.json,07439bd2d0115afbaf63f3833437e9f9ccb3e99c079418d446d87635a86b9f8a,application/json,cc by-nc-nd,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST cursor pagination,T063 scale-up
DL09012,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A41710103&format=json,2026-04-01T06:53:31Z,cache/metadata/epmc_case_pmid41710103.json,79c594d28deceea2f0e568d96b90e01cc4be6af9ab85f8ecf19053115c9d0e86,application/json,cc by,metadata_only,research_ops/16_case_reports/case_reports_master.csv,eligible,true,Europe PMC REST cursor pagination,T063 scale-up
