queue_id,manifest_id_or_url,failure_type,attempt_count,last_attempt_utc,next_action,notes
RQ-TEMPLATE-01,,download,0,,retry_with_backoff,T099 template row — replace with real manifest_id on failure
RQ-TEMPLATE-02,,parse,0,,retry_after_parser_fix,T099 template row
RQ-T215-00001,http://hdl.handle.net/10400.4/904,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2415201892; layer_b_html
RQ-T215-00002,https://lirias.kuleuven.be/bitstream/123456789/82197/1/UNESCOENGELS.pdf,download,1,2026-04-01T15:30:54Z,retry_with_backoff,openalex_id=W2522369617; layer_b_html
RQ-T215-00003,http://www.cell.com/article/S2405471218303557/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2760823524; layer_b_html
RQ-T215-00004,https://www.sciencedirect.com/science/article/am/pii/S1361841518306972?via%3Dihub,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2783775739; layer_b_html
RQ-T215-00005,http://www.cell.com/article/S2405471218303193/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2888985586; layer_b_html
RQ-T215-00006,http://www.cell.com/article/S2405471218302783/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2889435420; layer_b_html
RQ-T215-00007,http://www.cell.com/article/S2405471218303181/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2890604745; layer_b_html
RQ-T215-00008,http://www.cell.com/article/S2405471218303168/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2891398396; layer_b_html
RQ-T215-00009,http://www.cell.com/article/S2405471218303582/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2895519165; layer_b_html
RQ-T215-00010,https://doi.org/10.1016/j.cels.2018.09.003,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2900335126; layer_b_html
RQ-T215-00011,https://nottingham-repository.worktribe.com/output/4930884,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2901591537; layer_b_html
RQ-T215-00012,https://pubs.rsna.org/doi/10.1148/radiol.2018181482,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2904530525; layer_b_html
RQ-T215-00013,https://linkinghub.elsevier.com/science/article/pii/S1361841522003085/pdfft?md5=42606dbee21641af7f9e50655c0fdff2&pid=1-s2.0-S1361841522003085-main.pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2910094941; layer_b_html
RQ-T215-00014,https://doi.org/10.1016/j.cels.2018.11.002,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2912390201; layer_b_html
RQ-T215-00015,http://www.cell.com/article/S2405471218303144/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2951520489; layer_b_html
RQ-T215-00016,http://www.cell.com/article/S2405471219302765/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2972810475; layer_b_html
RQ-T215-00017,http://www.cell.com/article/S2405471219302741/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2972835101; layer_b_html
RQ-T215-00018,https://pubs.rsna.org/doi/pdf/10.1148/ryai.2019190019,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2972841325; layer_b_html
RQ-T215-00019,https://doi.org/10.1016/s2589-7500(19)30127-x,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2975366483; layer_b_html
RQ-T215-00020,https://doi.org/10.1016/s2589-7500(19)30134-7,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2975644437; layer_b_html
RQ-T215-00021,http://www.thelancet.com/article/S2589750019301281/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2976902049; layer_b_html
RQ-T215-00022,http://www.thelancet.com/article/S2589750019301311/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2977600010; layer_b_html
RQ-T215-00023,http://www.thelancet.com/article/S2589750019301268/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2978936242; layer_b_html
RQ-T215-00024,http://www.thelancet.com/article/S2589750019301293/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2979402731; layer_b_html
RQ-T215-00025,http://www.thelancet.com/article/S2589750019301517/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2979869827; layer_b_html
RQ-T215-00026,http://www.thelancet.com/article/S2589750019301554/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2979881905; layer_b_html
RQ-T215-00027,http://www.thelancet.com/article/S2589750019301542/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2979902886; layer_b_html
RQ-T215-00028,https://pubs.rsna.org/doi/pdf/10.1148/ryai.2019180011,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2980306781; layer_b_html
RQ-T215-00029,http://www.cell.com/article/S2405471219303138/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2980615333; layer_b_html
RQ-T215-00030,http://www.thelancet.com/article/S2589750019301591/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2980626014; layer_b_html
RQ-T215-00031,http://www.thelancet.com/article/S2589750019301505/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2980761369; layer_b_html
RQ-T215-00032,http://www.thelancet.com/article/S2589750019301566/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2981012745; layer_b_html
RQ-T215-00033,http://www.cell.com/article/S2405471219303151/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2981370854; layer_b_html
RQ-T215-00034,http://www.cell.com/article/S2405471219303175/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2981570282; layer_b_html
RQ-T215-00035,http://www.thelancet.com/article/S2589750019301323/pdf,download,1,2026-04-01T14:25:55Z,retry_with_backoff,openalex_id=W2981662937; layer_b_html
